index,query,_id,_score,name,pathway,symbol,notfound
19,ENSG00000198585,131870,19.986052,nudix hydrolase 16,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-15869', 'name': 'Metabolism of nucleotides'}, {'id': 'R-HSA-2393930', 'name': 'Phosphate bond hydrolysis by NUDT proteins'}, {'id': 'R-HSA-74259', 'name': 'Purine catabolism'}, {'id': 'R-HSA-8956319', 'name': 'Nucleobase catabolism'}]}",NUDT16,
20,ENSG00000011201,3730,20.003313,anosmin 1,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-190236', 'name': 'Signaling by FGFR'}, {'id': 'R-HSA-190242', 'name': 'FGFR1 ligand binding and activation'}, {'id': 'R-HSA-190373', 'name': 'FGFR1c ligand binding and activation'}, {'id': 'R-HSA-5654726', 'name': 'Negative regulation of FGFR1 signaling'}, {'id': 'R-HSA-5654736', 'name': 'Signaling by FGFR1'}, {'id': 'R-HSA-9006934', 'name': 'Signaling by Receptor Tyrosine Kinases'}]}",ANOS1,
21,ENSG00000162738,57216,19.980124,VANGL planar cell polarity protein 2,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-195721', 'name': 'Signaling by WNT'}, {'id': 'R-HSA-3858494', 'name': 'Beta-catenin independent WNT signaling'}, {'id': 'R-HSA-4086400', 'name': 'PCP/CE pathway'}, {'id': 'R-HSA-4608870', 'name': 'Asymmetric localization of PCP proteins'}]}",VANGL2,
22,ENSG00000182197,2131,19.374075,exostosin glycosyltransferase 1,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1630316', 'name': 'Glycosaminoglycan metabolism'}, {'id': 'R-HSA-1638091', 'name': 'Heparan sulfate/heparin (HS-GAG) metabolism'}, {'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-2022928', 'name': 'HS-GAG biosynthesis'}, {'id': 'R-HSA-3560782', 'name': 'Diseases associated with glycosaminoglycan metabolism'}, {'id': 'R-HSA-3656237', 'name': 'Defective EXT2 causes exostoses 2'}, {'id': 'R-HSA-3656253', 'name': 'Defective EXT1 causes exostoses 1, TRPS2 and CHDS'}, {'id': 'R-HSA-3781865', 'name': 'Diseases of glycosylation'}, {'id': 'R-HSA-71387', 'name': 'Metabolism of carbohydrates'}]}",EXT1,
23,ENSG00000163884,28999,19.977942,Kruppel like factor 15,"{'reactome': [{'id': 'R-HSA-1368108', 'name': 'BMAL1:CLOCK,NPAS2 activates circadian gene expression'}, {'id': 'R-HSA-400253', 'name': 'Circadian Clock'}]}",KLF15,
26,ENSG00000109906,7704,19.595066,zinc finger and BTB domain containing 16,"{'reactome': [{'id': 'R-HSA-1280218', 'name': 'Adaptive Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-8951664', 'name': 'Neddylation'}, {'id': 'R-HSA-983168', 'name': 'Antigen processing: Ubiquitination & Proteasome degradation'}, {'id': 'R-HSA-983169', 'name': 'Class I MHC mediated antigen processing & presentation'}]}",ZBTB16,
27,ENSG00000173930,353189,20.501654,solute carrier organic anion transporter family member 4C1,"{'reactome': [{'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-382551', 'name': 'Transport of small molecules'}, {'id': 'R-HSA-425397', 'name': 'Transport of vitamins, nucleosides, and related molecules'}, {'id': 'R-HSA-425407', 'name': 'SLC-mediated transmembrane transport'}, {'id': 'R-HSA-6798695', 'name': 'Neutrophil degranulation'}, {'id': 'R-HSA-879518', 'name': 'Transport of organic anions'}]}",SLCO4C1,
30,ENSG00000143127,8515,19.658031,integrin subunit alpha 10,"{'reactome': [{'id': 'R-HSA-109582', 'name': 'Hemostasis'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-216083', 'name': 'Integrin cell surface interactions'}, {'id': 'R-HSA-216083', 'name': 'Integrin cell surface interactions'}, {'id': 'R-HSA-373760', 'name': 'L1CAM interactions'}, {'id': 'R-HSA-422475', 'name': 'Axon guidance'}, {'id': 'R-HSA-447041', 'name': 'CHL1 interactions'}, {'id': 'R-HSA-75892', 'name': 'Platelet Adhesion to exposed collagen'}]}",ITGA10,
31,ENSG00000185760,56479,20.150984,potassium voltage-gated channel subfamily Q member 5,"{'reactome': [{'id': 'R-HSA-112316', 'name': 'Neuronal System'}, {'id': 'R-HSA-1296071', 'name': 'Potassium Channels'}, {'id': 'R-HSA-1296072', 'name': 'Voltage gated Potassium channels'}]}",KCNQ5,
32,ENSG00000170776,11214,19.372662,A-kinase anchoring protein 13,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-193648', 'name': 'NRAGE signals death through JNK'}, {'id': 'R-HSA-193704', 'name': 'p75 NTR receptor-mediated signalling'}, {'id': 'R-HSA-194315', 'name': 'Signaling by Rho GTPases'}, {'id': 'R-HSA-194840', 'name': 'Rho GTPase cycle'}, {'id': 'R-HSA-204998', 'name': 'Cell death signalling via NRAGE, NRIF and NADE'}, {'id': 'R-HSA-372790', 'name': 'Signaling by GPCR'}, {'id': 'R-HSA-388396', 'name': 'GPCR downstream signalling'}, {'id': 'R-HSA-416482', 'name': 'G alpha (12/13) signalling events'}, {'id': 'R-HSA-73887', 'name': 'Death Receptor Signalling'}]}",AKAP13,
34,ENSG00000184887,90135,20.469358,BTB domain containing 6,"{'reactome': [{'id': 'R-HSA-1280218', 'name': 'Adaptive Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}, {'id': 'R-HSA-8951664', 'name': 'Neddylation'}, {'id': 'R-HSA-983168', 'name': 'Antigen processing: Ubiquitination & Proteasome degradation'}, {'id': 'R-HSA-983169', 'name': 'Class I MHC mediated antigen processing & presentation'}]}",BTBD6,
39,ENSG00000162892,11009,20.508417,interleukin 24,"{'reactome': [{'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-449147', 'name': 'Signaling by Interleukins'}, {'id': 'R-HSA-8854691', 'name': 'Interleukin-20 family signaling'}]}",IL24,
40,ENSG00000124172,514,20.002016,ATP synthase F1 subunit epsilon,"{'reactome': [{'id': 'R-HSA-1428517', 'name': 'The citric acid (TCA) cycle and respiratory electron transport'}, {'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1592230', 'name': 'Mitochondrial biogenesis'}, {'id': 'R-HSA-163200', 'name': 'Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.'}, {'id': 'R-HSA-163210', 'name': 'Formation of ATP by chemiosmotic coupling'}, {'id': 'R-HSA-1852241', 'name': 'Organelle biogenesis and maintenance'}, {'id': 'R-HSA-8949613', 'name': 'Cristae formation'}]}",ATP5F1E,
41,ENSG00000131069,55902,19.596336,acyl-CoA synthetase short chain family member 2,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1592230', 'name': 'Mitochondrial biogenesis'}, {'id': 'R-HSA-1852241', 'name': 'Organelle biogenesis and maintenance'}, {'id': 'R-HSA-211859', 'name': 'Biological oxidations'}, {'id': 'R-HSA-211945', 'name': 'Phase I - Functionalization of compounds'}, {'id': 'R-HSA-2151201', 'name': 'Transcriptional activation of mitochondrial biogenesis'}, {'id': 'R-HSA-71384', 'name': 'Ethanol oxidation'}]}",ACSS2,
42,ENSG00000023697,51071,19.59884,deoxyribose-phosphate aldolase,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-6798695', 'name': 'Neutrophil degranulation'}, {'id': 'R-HSA-71336', 'name': 'Pentose phosphate pathway'}, {'id': 'R-HSA-71387', 'name': 'Metabolism of carbohydrates'}]}",DERA,
44,ENSG00000166670,4319,19.596308,matrix metallopeptidase 10,"{'reactome': [{'id': 'R-HSA-1442490', 'name': 'Collagen degradation'}, {'id': 'R-HSA-1442490', 'name': 'Collagen degradation'}, {'id': 'R-HSA-1474228', 'name': 'Degradation of the extracellular matrix'}, {'id': 'R-HSA-1474228', 'name': 'Degradation of the extracellular matrix'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-1474244', 'name': 'Extracellular matrix organization'}, {'id': 'R-HSA-1592389', 'name': 'Activation of Matrix Metalloproteinases'}]}",MMP10,
45,ENSG00000165617,51339,19.683702,dishevelled binding antagonist of beta catenin 1,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-195721', 'name': 'Signaling by WNT'}, {'id': 'R-HSA-201681', 'name': 'TCF dependent signaling in response to WNT'}, {'id': 'R-HSA-4641258', 'name': 'Degradation of DVL'}]}",DACT1,
48,ENSG00000104723,7991,19.679132,tumor suppressor candidate 3,"{'reactome': [{'id': 'R-HSA-382551', 'name': 'Transport of small molecules'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-446203', 'name': 'Asparagine N-linked glycosylation'}, {'id': 'R-HSA-5223345', 'name': 'Miscellaneous transport and binding events'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}]}",TUSC3,
49,ENSG00000104856,5971,19.596514,"RELB proto-oncogene, NF-kB subunit","{'reactome': [{'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-5607761', 'name': 'Dectin-1 mediated noncanonical NF-kB signaling'}, {'id': 'R-HSA-5607764', 'name': 'CLEC7A (Dectin-1) signaling'}, {'id': 'R-HSA-5621481', 'name': 'C-type lectin receptors (CLRs)'}, {'id': 'R-HSA-5621575', 'name': 'CD209 (DC-SIGN) signaling'}, {'id': 'R-HSA-5668541', 'name': 'TNFR2 non-canonical NF-kB pathway'}, {'id': 'R-HSA-5676590', 'name': 'NIK-->noncanonical NF-kB signaling'}]}",RELB,
50,ENSG00000171552,598,20.864864,BCL2 like 1,"{'reactome': [{'id': 'R-HSA-109581', 'name': 'Apoptosis'}, {'id': 'R-HSA-109606', 'name': 'Intrinsic Pathway for Apoptosis'}, {'id': 'R-HSA-111453', 'name': 'BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-168249', 'name': 'Innate Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-168643', 'name': 'Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways'}, {'id': 'R-HSA-449147', 'name': 'Signaling by Interleukins'}, {'id': 'R-HSA-5357801', 'name': 'Programmed Cell Death'}, {'id': 'R-HSA-622312', 'name': 'Inflammasomes'}, {'id': 'R-HSA-6785807', 'name': 'Interleukin-4 and Interleukin-13 signaling'}, {'id': 'R-HSA-844455', 'name': 'The NLRP1 inflammasome'}]}",BCL2L1,
53,ENSG00000164128,4886,20.486055,neuropeptide Y receptor Y1,"{'reactome': [{'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-372790', 'name': 'Signaling by GPCR'}, {'id': 'R-HSA-373076', 'name': 'Class A/1 (Rhodopsin-like receptors)'}, {'id': 'R-HSA-375276', 'name': 'Peptide ligand-binding receptors'}, {'id': 'R-HSA-388396', 'name': 'GPCR downstream signalling'}, {'id': 'R-HSA-418594', 'name': 'G alpha (i) signalling events'}, {'id': 'R-HSA-500792', 'name': 'GPCR ligand binding'}]}",NPY1R,
55,ENSG00000160712,3570,20.330833,interleukin 6 receptor,"{'reactome': [{'id': 'R-HSA-1059683', 'name': 'Interleukin-6 signaling'}, {'id': 'R-HSA-110056', 'name': 'MAPK3 (ERK1) activation'}, {'id': 'R-HSA-112409', 'name': 'RAF-independent MAPK1/3 activation'}, {'id': 'R-HSA-112411', 'name': 'MAPK1 (ERK2) activation'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-1280215', 'name': 'Cytokine Signaling in Immune system'}, {'id': 'R-HSA-162582', 'name': 'Signal Transduction'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-449147', 'name': 'Signaling by Interleukins'}, {'id': 'R-HSA-5683057', 'name': 'MAPK family signaling cascades'}, {'id': 'R-HSA-5684996', 'name': 'MAPK1/MAPK3 signaling'}, {'id': 'R-HSA-6783589', 'name': 'Interleukin-6 family signaling'}, {'id': 'R-HSA-6785807', 'name': 'Interleukin-4 and Interleukin-13 signaling'}, {'id': 'R-HSA-9616222', 'name': 'Transcriptional regulation of granulopoiesis'}]}",IL6R,
56,ENSG00000198523,5350,19.62837,phospholamban,"{'reactome': [{'id': 'R-HSA-382551', 'name': 'Transport of small molecules'}, {'id': 'R-HSA-397014', 'name': 'Muscle contraction'}, {'id': 'R-HSA-5576891', 'name': 'Cardiac conduction'}, {'id': 'R-HSA-5578775', 'name': 'Ion homeostasis'}, {'id': 'R-HSA-936837', 'name': 'Ion transport by P-type ATPases'}, {'id': 'R-HSA-983712', 'name': 'Ion channel transport'}]}",PLN,
57,ENSG00000138796,3033,21.300198,hydroxyacyl-CoA dehydrogenase,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-77286', 'name': 'mitochondrial fatty acid beta-oxidation of saturated fatty acids'}, {'id': 'R-HSA-77289', 'name': 'Mitochondrial Fatty Acid Beta-Oxidation'}, {'id': 'R-HSA-77310', 'name': 'Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA'}, {'id': 'R-HSA-77346', 'name': 'Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA'}, {'id': 'R-HSA-77348', 'name': 'Beta oxidation of octanoyl-CoA to hexanoyl-CoA'}, {'id': 'R-HSA-77350', 'name': 'Beta oxidation of hexanoyl-CoA to butanoyl-CoA'}, {'id': 'R-HSA-77352', 'name': 'Beta oxidation of butanoyl-CoA to acetyl-CoA'}, {'id': 'R-HSA-8978868', 'name': 'Fatty acid metabolism'}]}",HADH,
59,ENSG00000179348,2624,19.285297,GATA binding protein 2,"{'reactome': [{'id': 'R-HSA-109582', 'name': 'Hemostasis'}, {'id': 'R-HSA-1266738', 'name': 'Developmental Biology'}, {'id': 'R-HSA-212436', 'name': 'Generic Transcription Pathway'}, {'id': 'R-HSA-73857', 'name': 'RNA Polymerase II Transcription'}, {'id': 'R-HSA-74160', 'name': 'Gene expression (Transcription)'}, {'id': 'R-HSA-8878171', 'name': 'Transcriptional regulation by RUNX1'}, {'id': 'R-HSA-8939236', 'name': 'RUNX1 regulates transcription of genes involved in differentiation of HSCs'}, {'id': 'R-HSA-9616222', 'name': 'Transcriptional regulation of granulopoiesis'}, {'id': 'R-HSA-983231', 'name': 'Factors involved in megakaryocyte development and platelet production'}]}",GATA2,
60,ENSG00000165810,153579,19.59884,butyrophilin like 9,"{'reactome': [{'id': 'R-HSA-1280218', 'name': 'Adaptive Immune System'}, {'id': 'R-HSA-168256', 'name': 'Immune System'}, {'id': 'R-HSA-8851680', 'name': 'Butyrophilin (BTN) family interactions'}]}",BTNL9,
61,ENSG00000160285,4047,19.683496,lanosterol synthase,"{'reactome': [{'id': 'R-HSA-1430728', 'name': 'Metabolism'}, {'id': 'R-HSA-1655829', 'name': 'Regulation of cholesterol biosynthesis by SREBP (SREBF)'}, {'id': 'R-HSA-191273', 'name': 'Cholesterol biosynthesis'}, {'id': 'R-HSA-2426168', 'name': 'Activation of gene expression by SREBF (SREBP)'}, {'id': 'R-HSA-556833', 'name': 'Metabolism of lipids'}, {'id': 'R-HSA-8957322', 'name': 'Metabolism of steroids'}]}",LSS,
62,ENSG00000109472,1363,19.613775,carboxypeptidase E,"{'reactome': [{'id': 'R-HSA-264876', 'name': 'Insulin processing'}, {'id': 'R-HSA-2980736', 'name': 'Peptide hormone metabolism'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}]}",CPE,
63,ENSG00000143382,54507,19.598196,ADAMTS like 4,"{'reactome': [{'id': 'R-HSA-1643685', 'name': 'Disease'}, {'id': 'R-HSA-3781865', 'name': 'Diseases of glycosylation'}, {'id': 'R-HSA-3906995', 'name': 'Diseases associated with O-glycosylation of proteins'}, {'id': 'R-HSA-392499', 'name': 'Metabolism of proteins'}, {'id': 'R-HSA-5083635', 'name': 'Defective B3GALTL causes Peters-plus syndrome (PpS)'}, {'id': 'R-HSA-5173105', 'name': 'O-linked glycosylation'}, {'id': 'R-HSA-5173214', 'name': 'O-glycosylation of TSR domain-containing proteins'}, {'id': 'R-HSA-597592', 'name': 'Post-translational protein modification'}]}",ADAMTSL4,
64,ENSG00000108604,6603,20.569008,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2","{'reactome': [{'id': 'R-HSA-212436', 'name': 'Generic Transcription Pathway'}, {'id': 'R-HSA-3214858', 'name': 'RMTs methylate histone arginines'}, {'id': 'R-HSA-3247509', 'name': 'Chromatin modifying enzymes'}, {'id': 'R-HSA-4839726', 'name': 'Chromatin organization'}, {'id': 'R-HSA-73857', 'name': 'RNA Polymerase II Transcription'}, {'id': 'R-HSA-74160', 'name': 'Gene expression (Transcription)'}, {'id': 'R-HSA-8878171', 'name': 'Transcriptional regulation by RUNX1'}, {'id': 'R-HSA-8939243', 'name': 'RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known'}]}",SMARCD2,
